8039, 8738, 9334, 9558, 9604, 9697, 9772, 9841, 9851, 9922, 9963, 10023, 10121, 10197, 10373, 10459, 10594, 10629, 10664, 11124, 0
8326, 9130, 9478, 9662, 9706, 9732, 9753, 9854, 9955, 10107, 10165, 10294, 10379, 10442, 10499, 10698, 10800, 10849, 10857, 10924, 0
8515, 8560, 8957, 9126, 9166, 9182, 9271, 9325, 9484, 9559, 9583, 9753, 9844, 9986, 10040, 10093, 10235, 10439, 10668, 10729, 0
9033, 9100, 9188, 9418, 9430, 9482, 9684, 9710, 9790, 9885, 9942, 10196, 10277, 10313, 10369, 10409, 10464, 10572, 10596, 10966, 0
7588, 8649, 8891, 8965, 9370, 9661, 9933, 10044, 10123, 10151, 10220, 10292, 10344, 10354, 10387, 10460, 10761, 10778, 10843, 11105, 0
8326, 8805, 8858, 9298, 9303, 9549, 9591, 9719, 9756, 9795, 9925, 9992, 10034, 10106, 10189, 10220, 10409, 10580, 10772, 10997, 0
7467, 7560, 7659, 8025, 8414, 8904, 9070, 9156, 9266, 9514, 9583, 9625, 9692, 9906, 10096, 10198, 10339, 10367, 10924, 10990, 0
8410, 9311, 9424, 9469, 9497, 9518, 9592, 9787, 9970, 10025, 10070, 10085, 10241, 10258, 10315, 10352, 10468, 10740, 10906, 11159,0
7757, 7847, 8133, 8207, 9385, 9453, 9506, 9578, 9666, 10005, 10075, 10135, 10170, 10200, 10259, 10317, 10366, 10432, 10463, 10480, 0
7574, 7777, 7860, 8362, 8393, 8428, 8492, 8771, 9245, 9507, 9749, 9754, 9823, 10038, 10337, 10411, 10456, 10611, 10676, 10882, 0
8865, 8916, 9101, 9175, 9201, 9373, 9430, 9480, 9543, 9582, 9647, 9738, 9843, 10043, 10217, 10296, 10348, 10360, 10423, 10763, 0
7665, 8260, 8304, 8495, 9285, 9366, 9388, 9603, 9641, 9707, 9774, 9819, 9837, 10020, 10096, 10149, 10263, 10313, 10873, 10914, 0
9911, 9961, 10007, 10193, 10295, 10353, 10461, 10598, 10612, 10627, 10660, 10772, 10891, 11000, 11070, 11081, 11112, 11305, 11405, 11682, 1
8488, 8503, 8844, 9130, 9706, 9854, 9881, 9955, 10107, 10165, 10442, 10499, 10698, 10800, 10849, 10857, 10924, 11084, 11475, 11632, 1
8191, 8913, 9405, 9564, 9717, 9792, 9807, 9898, 10232, 10280, 10401, 10462, 10557, 10662, 10743, 10850, 10963, 10977, 11162, 11419, 1
8088, 8515, 9844, 10040, 10093, 10132, 10230, 10439, 10545, 10590, 10622, 10661, 10717, 10729, 10806, 10944, 10994, 11071, 11104, 11316, 1
8870, 9787, 9970, 10025, 10070, 10085, 10136, 10197, 10208, 10241, 10315, 10352, 10468, 10740, 10906, 11002, 11142, 11159, 11204, 11475, 1
8711, 8891, 10073, 10139, 10151, 10220, 10232, 10292, 10344, 10387, 10402, 10445, 10460, 10666, 10761, 10778, 10843, 10952, 11105, 11713, 1
9583, 9656, 9692, 9897, 9906, 10074, 10096, 10140, 10228, 10254, 10316, 10339, 10367, 10539, 10800, 10877, 10924, 10990, 11367, 11507,1
8555, 8716, 8757, 8779, 9011, 9578, 9664, 10005, 10075, 10143, 10150, 10203, 10253, 10324, 10373, 10547, 10735, 11028, 11233, 11610, 1
8360, 9729, 9769, 9826, 9860, 10039, 10064, 10169, 10338, 10408, 10461, 10609, 10669, 10689, 10792, 10889, 11235, 11339, 11435, 11672, 1
9051, 9075, 9133, 9178, 9365, 9448, 9481, 9599, 9635, 9740, 10032, 10224, 10281, 10762, 10778, 10934, 11143, 11306, 11494, 11763, 1
9630, 9703, 9758, 9822, 9826, 10006, 10054, 10078, 10141, 10316, 10529, 10659, 10691, 10853, 10906, 10988, 11147, 11276, 11452, 11710, 1
9067, 9993, 10287, 10739, 10792, 10812, 10880, 11007, 11060, 11092, 11140, 11264, 11391, 11416, 11685, 11712, 11769, 11790, 12199, 12624, 2
10808, 10834, 11053, 11085, 11434, 11471, 11479, 11553, 11597, 11634, 11720, 11743, 11766, 11812, 11872, 11897, 11909, 12094, 12332, 12504, 2
9428, 10916, 11045, 11149, 11180, 11224, 11320, 11425, 11498, 11563, 11587, 11630, 11699, 11836, 11853, 11896, 11997, 12228, 12383, 12509, 2
